QID + Label,Alias,Count
Q196472 – Giovanni Battista Riccioli,Total,3
Q76738 – Athanasius Kircher,Kircher,1
Q76738 – Athanasius Kircher,Total,1
Q354631 – Jeremiah Horrocks,Horrox,2
Q354631 – Jeremiah Horrocks,Mr. Horrox,1
Q354631 – Jeremiah Horrocks,Total,3
Q211783 – Pappus of Alexandria,Pappus,2
Q211783 – Pappus of Alexandria,Pappus of Alexandria,0
Q211783 – Pappus of Alexandria,Total,2
Q47434 – Edmond Halley,Dr. Halley,23
Q47434 – Edmond Halley,Edmund Halley,1
Q47434 – Edmond Halley,Halley,0
Q47434 – Edmond Halley,Edmundus Halleius,0
Q47434 – Edmond Halley,Halleio,0
Q47434 – Edmond Halley,EDM. Halley,0
Q47434 – Edmond Halley,Halleium,0
Q47434 – Edmond Halley,Total,24
Q123885 – Royal Society,Royal Society,3
Q123885 – Royal Society,Societate Regali,0
Q123885 – Royal Society,Societate Regia,0
Q123885 – Royal Society,Regia Societate,0
Q123885 – Royal Society,Total,3
Q307 – Galileo Galilei,Galileo,11
Q307 – Galileo Galilei,Galilaeus,0
Q307 – Galileo Galilei,Galilaei,0
Q307 – Galileo Galilei,Galilaeum,0
Q307 – Galileo Galilei,Total,11
Q170373 – Christopher Wren,Sir Christopher Wren,8
Q170373 – Christopher Wren,Sir Christ. Wren,1
Q170373 – Christopher Wren,Wrennus,0
Q170373 – Christopher Wren,Wrenni,0
Q170373 – Christopher Wren,Christophorus Wrennus,0
Q170373 – Christopher Wren,Total,9
Q208359 – John Wallis,Dr. Wallis,4
Q208359 – John Wallis,Wallifius,0
Q208359 – John Wallis,Wallisius,0
Q208359 – John Wallis,Johannes Wallisius S. T. D.,0
Q208359 – John Wallis,Total,4
Q39599 – Christiaan Huygens,Mr. Huygens,11
Q39599 – Christiaan Huygens,Huygenian,3
Q39599 – Christiaan Huygens,Hugenius,1
Q39599 – Christiaan Huygens,Hugenii,0
Q39599 – Christiaan Huygens,Christianus Hugenius,0
Q39599 – Christiaan Huygens,Total,15
Q319749 – Edme Mariotte,Mr. Mariotte,1
Q319749 – Edme Mariotte,Clarissimus Mariottus,0
Q319749 – Edme Mariotte,Mariottus,0
Q319749 – Edme Mariotte,Total,1
Q8747 – Euclid,Euclid,2
Q8747 – Euclid,Euclides,0
Q8747 – Euclid,Euclide,0
Q8747 – Euclid,Total,2
Q46830 – Robert Hooke,Hook,7
Q46830 – Robert Hooke,Dr. Hooke,7
Q46830 – Robert Hooke,Hookius,0
Q46830 – Robert Hooke,Hookio,0
Q46830 – Robert Hooke,Hookium,0
Q46830 – Robert Hooke,Hookii,0
Q46830 – Robert Hooke,Total,14
Q180109 – Apollonius of Perga,Apollonius,3
Q180109 – Apollonius of Perga,Apollon.,0
Q180109 – Apollonius of Perga,Apollonii,0
Q180109 – Apollonius of Perga,Total,3
Q8739 – Archimedes,Archimedes,2
Q8739 – Archimedes,Archimede,0
Q8739 – Archimedes,Archimed.,0
Q8739 – Archimedes,Archimedis,0
Q8739 – Archimedes,Total,2
Q244152 – Willebrord Snellius,Snellius,1
Q244152 – Willebrord Snellius,Villebrordius Snellius,0
Q244152 – Willebrord Snellius,Total,1
Q9191 – René Descartes,Cartesius,5
Q9191 – René Descartes,Des Cartes,3
Q9191 – René Descartes,Descartes,1
Q9191 – René Descartes,Sectateurs de Descartes,0
Q9191 – René Descartes,Cartesiani,0
Q9191 – René Descartes,Total,9
Q1342809 – Giovanni Francesco Grimaldi,Grimaldus,1
Q1342809 – Giovanni Francesco Grimaldi,Total,1
Q1279339 – John Collins,Mr. J. Collins,1
Q1279339 – John Collins,D. J. Collinium,0
Q1279339 – John Collins,Total,1
Q1394765 – René-François de Sluse,Slusius,1
Q1394765 – René-François de Sluse,Slufii,0
Q1394765 – René-François de Sluse,Total,1
Q1692000 – Johannes Hudde,Huddens,0
