*DOAJ Keywords	Wikidata label(en)	WikidataQID
central and eastern europe	European studies	Q1377029
europe	European studies	Q1377029
european studies	European studies	Q1377029
european union	European studies	Q1377029
adriatic sea	Adriatic Sea	Q13924
development	new product development	Q1395034
social innovation	social innovation	Q1399209
economic theory	economic theory	Q1401304
industrial organisation	industrial organization	Q1411783
industrial organization	industrial organization	Q1411783
eastern europe	Eastern European studies	Q1413113
art theory	art theory	Q1414089
social movements	social studies	Q14565700
social studies	social studies	Q14565700
egyptology	Egyptology	Q145903
environmental engineering	environmental engineering	Q146326
dialectology	dialectology	Q146893
spatial planning	spatial planning	Q149013
hospitality	hospitality industry	Q1495452
african history	history of Africa	Q149813
history of africa	history of Africa	Q149813
associativity	cooperative movement	Q1502514
cooperativism	cooperative movement	Q1502514
costa rican history	history of Costa Rica	Q1516374
intersectionality	intersectionality	Q1516555
catholic church	history of the Catholic Church	Q1517265
history of sport	history of sports	Q1517491
historical cultures	historical culture	Q1517742
gender history	gender history	Q1517835
critical pedagogy	critical pedagogy	Q1519217
ghettos	ghetto	Q152018
textual studies	textual scholarship	Q15473066
environmental history	environmental history	Q1561862
history of the holocaust	Holocaust studies	Q1568255
holocaust	Holocaust studies	Q1568255
slavic	Slavic studies	Q156864
slavic cultures	Slavic studies	Q156864
slavic studies	Slavic studies	Q156864
slavic studies; history;	Slavic studies	Q156864
urban history	urban history	Q1569011
sociology of culture	sociology of culture	Q1570681
social pedagogy	social pedagogy	Q1572493
political studies	political studies	Q15831440
book history	history of the book	Q15873402
human sciences	human science	Q1587903
russia	Russia	Q159
geopolitics	geopolitics	Q159385
econometrics	econometrics	Q160039
russian history	history of Russia	Q161414
roman law	Roman law	Q162314
digital scholarship	digital scholarship	Q16246050
greek	Greek studies	Q16267481
greek culture	Greek studies	Q16267481
hellenism	Greek studies	Q16267481
east asian studies	East Asian studies	Q162817
information science	information science	Q16387
music	musicology	Q164204
musicology	musicology	Q164204
film and television studies	media studies	Q165650
media	media studies	Q165650
media studies	media studies	Q165650
production	media studies	Q165650
human capital	human capital	Q165687
blach sea area	Black Sea	Q166
film studies	film studies	Q1660187
germany	German studies	Q166153
