*DOAJ Keywords	Wikidata label(en)	WikidataQID
american history	history of the Americas	Q690256
west indian history	history of the Americas	Q690256
20th century	20th century	Q6927
twenty century	20th century	Q6927
19th century	19th century	Q6955
nineteen century	19th century	Q6955
proto-history	Protohistory	Q695827
protohistory	Protohistory	Q695827
town planning history	urban planning	Q69883
urban development	urban planning	Q69883
urban planning	urban planning	Q69883
interdisciplinary research	interdisciplinary studies	Q69975710
interdisciplinary studies	interdisciplinary studies	Q69975710
eighteenth-century studies	18th century	Q7015
theoretical economics	theoretical economics	Q70274700
biochemistry	biochemistry	Q7094
pacific region	Pacific studies	Q7122791
korean history	history of Korea	Q713414
korean culture	Korean studies	Q714838
korean studies	Korean studies	Q714838
ecology	ecology	Q7150
history and ecology	ecology	Q7150
genetics	genetics	Q7162
marine biology	marine biology	Q7173
globalization	globalization	Q7181
palaeo-research	paleontology	Q7205
palaeontology	paleontology	Q7205
paleontology	paleontology	Q7205
popular culture	popular culture studies	Q7229751
feminism	feminism	Q7252
public humanities	public humanities	Q7257903
nazi period	Nazism	Q7310
art	art	Q735
rural history	rural history	Q7380580
jewish linguistics	study of the Hebrew language	Q739465
comparative law	comparative law	Q741338
political sociology	political sociology	Q745692
slavic literature	Slavic literature	Q7539371
slavic literatures	Slavic literature	Q7539371
sociocultural anthropology	sociocultural anthropology	Q7552777
health sociology	sociology of health and illness	Q7552854
race relations	sociology of race and ethnic relations	Q7552863
translation	translation	Q7553
languages and literature of eastern asia	Southeast Asian studies	Q7569309
southeast asian studies	Southeast Asian studies	Q7569309
papyrology	papyrology	Q757248
soviet period	Soviet studies	Q76243567
cliodynamics	cliodynamics	Q766002
animal conservation	wildlife conservation	Q766328
wildlife conservation	wildlife conservation	Q766328
english teaching	teaching English as a second or foreign language	Q7691272
auxiliary sciences of history	auxiliary science of history	Q770723
history of spain	history of Spain	Q7781
spain	history of Spain	Q7781
spanish history	history of Spain	Q7781
european history	history of Europe	Q7787
history of europe	history of Europe	Q7787
portugal	history of Portugal	Q7790
italian history	history of Italy	Q7791
italy	history of Italy	Q7791
greek history	history of Greece	Q7794
history of greece	history of Greece	Q7794
traditional knowledge	traditional ecological knowledge	Q7832334
egypt	Egypt	Q79
didactics	didactic method	Q7921
pedagogical practices	pedagogy	Q7922
pedagogy	pedagogy	Q7922
biblical studies	biblical studies	Q794605
natural sciences	natural science	Q7991
armenian genocide	Armenian Genocide	Q80034
earth sciences	Earth science	Q8008
arts and humanities	humanities	Q80083
humamities	humanities	Q80083
humanistic sciences	humanities	Q80083
humanistic studies	humanities	Q80083
humanities	humanities	Q80083
built heritage	architectural heritage monument	Q811165
monuments	architectural heritage monument	Q811165
economic	economics	Q8134
economic growth	economics	Q8134
economics	economics	Q8134
economy	economics	Q8134
history and economics	economics	Q8134
language	linguistics	Q8162
language and linguistics	linguistics	Q8162
languages	linguistics	Q8162
linguistic	linguistics	Q8162
linguistics	linguistics	Q8162
linguistics and philology	linguistics	Q8162
architectural history	history of architecture	Q8180985
architecture history	history of architecture	Q8180985
history of architecture	history of architecture	Q8180985
taxonomy	taxonomy	Q8269924
social policies	social policy	Q828395
social policy	social policy	Q828395
mineralogy	mineralogy	Q83353
comparative literature	comparative literature	Q834903
citizenship education	civics	Q837313
civic education	civics	Q837313
civics	civics	Q837313
urban archaeology	urban archaeology	Q839006
human evolution	human evolution	Q83944
classical antiquity	classics	Q841090
classical studies	classics	Q841090
classics	classics	Q841090
recent period turkish studies	Turkology	Q8427
turkish civilization	Turkology	Q8427
turkish culture	Turkology	Q8427
turkısh culture	Turkology	Q8427
education	education	Q8434
crtical thinking	critical thinking	Q843894
history of islamic civilization	Islamic studies	Q843909
history of islamic culture	Islamic studies	Q843909
islam	Islamic studies	Q843909
islamic civilization	Islamic studies	Q843909
islamic empire	Islamic studies	Q843909
islamic studies	Islamic studies	Q843909
muslim community	Islamic studies	Q843909
human rights	human rights	Q8458
history of religion	history of religions	Q846742
history of religions	history of religions	Q846742
plant conservation	plant conservation	Q84861608
ethnolinguistics	ethnolinguistics	Q853085
hungarology	Hungarian studies	Q855627
caribbean studies	Caribbean studies	Q85710429
cultural history	cultural history	Q858517
culture history	cultural history	Q858517
history of culture	cultural history	Q858517
arabic language	Arabic Language Studies	Q85873793
sculpture	sculpture	Q860861
education history	history of education	Q861408
educational history	history of education	Q861408
historiography of education	history of education	Q861408
history education	history of education	Q861408
history of education	history of education	Q861408
science education history	history of education	Q861408
educational investigation	educational sciences	Q861641
educational sciences	educational sciences	Q861641
learning	educational sciences	Q861641
teaching	educational sciences	Q861641
training	educational sciences	Q861641
visual culture	visual culture	Q861716
visual studies	visual culture	Q861716
comparative linguistics	comparative linguistics	Q878226
colonial history	colonial history	Q89269073
colonial latinamerican history	colonial history	Q89269073
tunisia	history of Tunisia	Q900419
social history	social history	Q908604
soil science	soil science	Q9161265
archaeology of africa	African archaeology	Q920321
baltic region	Scandinavian studies	Q922219
baltic sea region	Scandinavian studies	Q922219
nordic	Scandinavian studies	Q922219
nordic countries	Scandinavian studies	Q922219
northern history	Scandinavian studies	Q922219
scandinavian	Scandinavian studies	Q922219
scandinavian studies	Scandinavian studies	Q922219
archaeological heritage	archaeological heritage	Q9248361
jewish religion	Judaism	Q9268
financial economy	financial economy	Q9274747
area studies	area studies	Q928786
regional studies	area studies	Q928786
cinema history	history of cinema	Q9292847
korean arts	Korean art	Q929402
grassroots organizations	grassroots	Q929651
imaging	medical imaging	Q931309
political theory	political theory	Q9357091
psychology	psychology	Q9418
ethics	ethics	Q9465
epistemology	epistemology	Q9471
estonian history	history of Estonia	Q949423
excavation	archaeological excavation	Q959782
sufism	Sufism	Q9603
theater	theatre studies	Q960543
theatre	theatre studies	Q960543
jewish history	Jewish history	Q961603
medieval literature	medieval literature	Q963619
greek epigraphy	Greek epigraphy	Q972132
tourism	tourism studies	Q976962
curatorial studies	curatorial studies	Q98641248
history of books	history of books	Q998434
